Pid Tid Torder Res Dcls Did Time Correct Ans Key ec1 ec2 ec3 ec4 ec5
1 4 95 4 1 5 15 0 0 1 180.996349 31.030435 61 0 0
1 4 96 5 1 1 11 1 1 1 23.150293 25.123905 53 0 0
1 4 97 1 1 2 16 0 0 1 245.588378 12.858324 66 0 0
1 4 98 3 1 3 17 0 0 1 824.847224 22.274494 45 0 0
1 4 99 2 1 4 23 1 1 1 61.219332 28.643363 74 0 0
1 4 100 4 1 5 28 0 0 1 244.592498 33.082050 93 0 0
1 4 101 5 3 1 4 0 0 1 171.48907 17.130037 16 0 0
1 4 102 1 3 2 3 1 1 1 14.058404 15.378211 13 0 0
1 4 103 3 3 3 7 0 0 1 362.045577 25.548269 17 0 0
1 4 104 2 3 4 15 1 1 1 22.327762 29.424624 17 0 0
1 4 105 4 3 5 4 1 1 1 11.196296 31.030433 12 0 0
1 4 106 5 3 1 4 1 1 1 21.932324 25.123905 18 0 0
1 4 107 1 3 2 4 1 1 1 29.302042 12.858323 24 0 0
1 4 108 3 3 3 13 0 0 1 271.68904 22.274494 43 0 0
1 4 109 2 3 4 4 1 1 1 43.408125 28.643362 38 0 0
1 4 110 4 3 5 2 1 1 1 16.388642 33.082050 14 0 0
1 4 111 5 2 1 13 0 0 1 190.703524 17.130037 23 0 0
1 4 112 1 2 2 29 0 0 1 328.786803 15.378211 55 0 0
1 4 113 3 2 3 15 0 0 1 428.921838 25.548268 71 0 0
1 4 114 2 2 4 9 1 1 1 49.730057 29.424623 48 0 0
1 4 115 4 2 5 13 1 1 1 40.89872 31.030435 44 0 0
1 4 116 5 2 1 8 1 1 1 17.774906 25.123904 58 0 0
1 4 117 1 2 2 13 0 0 1 181.156863 12.858325 58 0 0
1 4 118 3 2 3 29 0 0 1 304.020709 22.274493 45 0 0
1 4 119 2 2 4 25 1 1 1 48.759094 28.643363 74 0 0
1 4 120 4 2 5 8 1 1 1 27.498713 33.082050 31 0 0
1 5 121 5 1 1 15 1 1 1 0 0 0 0 0
1 5 122 1 1 2 12 1 2 1 0 0 0 0 0
1 5 123 3 1 3 9 0 1 2 0 0 0 0 0
1 5 124 2 1 4 13 0 1 1 0 0 0 0 0
1 5 125 4 1 5 10 1 1 2 0 0 0 0 0
1 5 126 5 1 1 11 1 1 2 0 0 0 0 0
1 5 127 1 1 2 8 1 1 2 0 0 0 0 0
1 5 128 3 1 3 5 1 2 2 0 0 0 0 0
1 5 129 2 1 4 9 1 1 2 0 0 0 0 0
1 5 130 4 1 5 11 0 1 1 0 0 0 0 0
1 5 131 5 3 1 6 1 1 1 0 0 0 0 0
1 5 132 1 3 2 12 0 1 1 0 0 0 0 0
1 5 133 3 3 3 6 0 1 2 0 0 0 0 0
1 5 134 2 3 4 5 1 2 1 0 0 0 0 0
1 5 135 4 3 5 5 1 1 2 0 0 0 0 0
1 5 136 5 3 1 5 1 1 2 0 0 0 0 0
1 5 137 1 3 2 4 1 1 2 0 0 0 0 0
1 5 138 3 3 3 4 1 2 2 0 0 0 0 0
1 5 139 2 3 4 5 1 1 2 0 0 0 0 0
1 5 140 4 3 5 7 1 2 1 0 0 0 0 0
1 5 141 5 2 1 12 1 1 1 0 0 0 0 0
1 5 142 1 2 2 5 1 2 1 0 0 0 0 0
1 5 143 3 2 3 6 0 1 2 0 0 0 0 0
1 5 144 2 2 4 10 0 1 1 0 0 0 0 0
1 5 145 4 2 5 6 1 1 2 0 0 0 0 0
1 5 146 5 2 1 5 1 1 2 0 0 0 0 0
1 5 147 1 2 2 6 1 1 2 0 0 0 0 0
1 5 148 3 2 3 4 1 2 2 0 0 0 0 0
1 5 149 2 2 4 8 1 1 2 0 0 0 0 0
1 5 150 4 2 5 10 0 1 1 0 0 0 0 0
1 6 151 5 1 1 26 1 3 3 0.5385 20 13 0 0
1 6 152 1 1 2 19 0 2 3 0.4000 35 25 0 0
1 6 153 3 1 3 8 1 1 1 0.0800 25 27 0 0
1 6 154 2 1 1 24 0 2 3 0.5464 97 150 0 0
1 6 155 4 1 3 9 1 3 3 0.5556 14 9 0 0
1 6 156 5 1 1 26 0 2 3 0.6154 13 21 0 0
1 6 157 1 1 2 12 0 1 3 0.5909 35 22 0 0
1 6 158 3 1 3 16 1 2 2 0.3158 25 19 0 0
1 6 159 2 1 1 15 0 2 3 0.5222 137 90 0 0
1 6 160 4 1 3 13 1 2 2 0.2857 14 18 0 0
1 6 161 5 3 1 11 0 2 3 0.5385 20 13 0 0
1 6 162 1 3 2 7 0 1 3 0.4000 35 25 0 0
1 6 163 3 3 3 10 0 2 1 0.0800 25 27 0 0
1 6 164 2 3 1 13 0 2 3 0.5464 97 150 0 0
1 6 165 4 3 3 8 1 3 3 0.5556 14 9 0 0
1 6 166 5 3 1 5 0 2 3 0.6154 13 21 0 0
1 6 167 1 3 2 5 0 2 3 0.5909 35 22 0 0
1 6 168 3 3 3 4 1 2 2 0.3158 25 19 0 0
1 6 169 2 3 1 6 0 2 3 0.5222 137 90 0 0
1 6 170 4 3 3 5 0 1 2 0.2857 14 18 0 0
1 6 171 5 2 1 12 0 1 3 0.5385 20 13 0 0
1 6 172 1 2 2 7 0 1 3 0.4000 35 25 0 0
1 6 173 3 2 3 10 1 1 1 0.0800 25 27 0 0
1 6 174 2 2 1 10 0 2 3 0.5464 97 150 0 0
1 6 175 4 2 3 8 1 3 3 0.5556 14 9 0 0
1 6 176 5 2 1 9 1 3 3 0.6154 13 21 0 0
1 6 177 1 2 2 6 0 1 3 0.5909 35 22 0 0
1 6 178 3 2 3 12 0 1 2 0.3158 25 19 0 0
1 6 179 2 2 1 10 0 2 3 0.5222 137 90 0 0
1 6 180 4 2 3 10 1 2 2 0.2857 14 18 0 0
2 1 1 4 1 1 64 0 2 1 0.011242 0.225841 22 0.214599 142
2 1 2 3 1 2 58 1 2 2 0.013691 0.202175 38 0.215866 55
2 1 3 5 1 3 18 1 2 2 0.104021 0.332082 31 0.436104 47
2 1 4 1 1 4 16 1 2 2 0.089986 0.202400 117 0.292386 143
2 1 5 2 1 5 49 1 1 1 0.129639 0.377472 102 0.247833 164
2 1 6 4 1 1 58 0 2 1 0.072497 0.352947 54 0.280450 39 
2 1 7 3 1 2 8 1 1 1 0.051267 0.256422 76 0.205154 49 
2 1 8 5 1 3 9 1 1 1 0.151894 0.339511 31 0.187618 16 
2 1 9 1 1 4 26 0 3 2 0.093016 0.210103 139 0.303118 159 
2 1 10 2 1 5 15 1 1 1 0.108200 0.368033 68 0.259833 92 
2 1 11 4 3 1 25 1 2 2 0.021545 0.168402 5 0.189947 17 
2 1 12 3 3 2 46 0 3 1 0.026556 0.212540 9 0.185984 5 
2 1 13 5 3 3 10 1 2 2 0.059562 0.343223 30 0.402785 42 
2 1 14 1 3 4 6 1 2 2 0.067913 0.204354 50 0.272267 17 
2 1 15 2 3 5 6 1 1 1 0.186808 0.477633 25 0.290825 27 
2 1 16 4 3 1 23 1 1 1 0.102344 0.361477 16 0.259134 13 
2 1 17 3 3 2 15 1 1 1 0.088227 0.269946 8 0.181719 5 
2 1 18 5 3 3 13 1 1 1 0.177737 0.356517 29 0.178780 16 
2 1 19 1 3 4 22 1 2 2 0.025840 0.247772 25 0.273612 17 
2 1 20 2 3 5 5 1 1 1 0.151964 0.433052 16 0.281089 27 
2 1 21 4 2 1 22 0 2 3 0.006542 0.235168 21 0.228625 10 
2 1 22 3 2 2 15 0 3 2 0.013484 0.202115 38 0.215599 55 
2 1 23 5 2 3 9 1 2 2 0.103526 0.332004 31 0.435530 47 
2 1 24 1 2 4 9 1 2 2 0.104274 0.202460 117 0.306733 120 
2 1 25 2 2 5 8 1 1 1 0.129267 0.377195 103 0.247928 165 
2 1 26 4 2 1 59 0 1 2 0.020157 0.323999 4 0.344157 11 
2 1 27 3 2 2 12 1 1 1 0.051473 0.256576 75 0.205104 49 
2 1 28 5 2 3 14 1 1 1 0.152064 0.339299 31 0.187234 16 
2 1 29 1 2 4 21 1 2 2 0.107882 0.209917 139 0.317798 134 
2 1 30 2 2 5 7 1 1 1 0.108517 0.368321 68 0.259804 93 
2 2 31 4 1 1 27 1 3 3 13 0 0 0 0
2 2 32 3 1 2 45 1 2 2 8 0 0 0 0
2 2 33 5 1 3 58 0 2 1 10 0 0 0 0
2 2 34 1 1 4 28 0 2 3 24 0 0 0 0
2 2 35 2 1 5 26 1 2 2 15 0 0 0 0
2 2 36 4 1 1 12 1 3 3 14 0 0 0 0
2 2 37 3 1 2 45 0 3 2 8 0 0 0 0
2 2 38 5 1 3 25 0 2 1 10 0 0 0 0
2 2 39 1 1 4 79 0 1 3 12 0 0 0 0
2 2 40 2 1 5 40 1 2 2 18 0 0 0 0
2 2 41 4 3 1 16 1 3 3 10 0 0 0 0
2 2 42 3 3 2 13 1 2 2 6 0 0 0 0
2 2 43 5 3 3 44 0 3 1 10 0 0 0 0
2 2 44 1 3 4 13 1 3 3 24 0 0 0 0
2 2 45 2 3 5 14 1 2 2 15 0 0 0 0
2 2 46 4 3 1 13 1 3 3 14 0 0 0 0
2 2 47 3 3 2 13 1 2 2 5 0 0 0 0
2 2 48 5 3 3 33 1 1 1 10 0 0 0 0
2 2 49 1 3 4 11 0 1 3 12 0 0 0 0
2 2 50 2 3 5 25 1 2 2 18 0 0 0 0
2 2 51 4 2 1 7 1 3 3 13 0 0 0 0
2 2 52 3 2 2 8 1 2 2 8 0 0 0 0
2 2 53 5 2 3 31 0 3 1 10 0 0 0 0
2 2 54 1 2 4 57 0 2 3 24 0 0 0 0
2 2 55 2 2 5 40 1 2 2 15 0 0 0 0
2 2 56 4 2 1 12 1 3 3 14 0 0 0 0
2 2 57 3 2 2 29 1 2 2 8 0 0 0 0
2 2 58 5 2 3 40 0 2 1 10 0 0 0 0
2 2 59 1 2 4 37 0 1 3 12 0 0 0 0
2 2 60 2 2 5 89 0 3 2 18 0 0 0 0
2 3 61 4 1 1 19 1 1 1 57 0 0 0 0
2 3 62 3 1 2 20 1 2 2 19 0 0 0 0
2 3 63 5 1 3 20 1 3 3 19 0 0 0 0
2 3 64 1 1 4 34 0 5 4 27 0 0 0 0
2 3 65 2 1 5 16 1 5 5 26 0 0 0 0
2 3 66 4 1 1 8 1 1 1 41 0 0 0 0
2 3 67 3 1 2 9 1 2 2 21 0 0 0 0
2 3 68 5 1 3 5 1 3 3 73 0 0 0 0
2 3 69 1 1 4 8 1 4 4 34 0 0 0 0
2 3 70 2 1 5 7 1 5 5 34 0 0 0 0
2 3 71 4 3 1 6 1 1 1 57 0 0 0 0
2 3 72 3 3 2 4 1 2 2 19 0 0 0 0
2 3 73 5 3 3 6 1 3 3 19 0 0 0 0
2 3 74 1 3 4 12 1 4 4 33 0 0 0 0
2 3 75 2 3 5 2 1 5 5 26 0 0 0 0
2 3 76 4 3 1 21 1 1 1 22 0 0 0 0
2 3 77 3 3 2 5 1 2 2 21 0 0 0 0
2 3 78 5 3 3 5 1 3 3 73 0 0 0 0
2 3 79 1 3 4 5 1 4 4 33 0 0 0 0
2 3 80 2 3 5 6 1 5 5 34 0 0 0 0
2 3 81 4 2 1 5 1 1 1 57 0 0 0 0
2 3 82 3 2 2 5 1 2 2 19 0 0 0 0
2 3 83 5 2 3 11 1 3 3 19 0 0 0 0
2 3 84 1 2 4 5 1 4 4 27 0 0 0 0
2 3 85 2 2 5 9 1 5 5 26 0 0 0 0
2 3 86 4 2 1 7 1 1 1 41 0 0 0 0
2 3 87 3 2 2 4 1 2 2 21 0 0 0 0
2 3 88 5 2 3 4 1 3 3 73 0 0 0 0
2 3 89 1 2 4 4 1 4 4 34 0 0 0 0
2 3 90 2 2 5 3 1 5 5 34 0 0 0 0
2 4 91 4 1 1 20 1 1 1 20.654593 17.130038 47 0 0
2 4 92 3 1 2 173 0 0 1 226.748402 15.378211 47 0 0
2 4 93 5 1 3 90 0 0 1 433.666369 25.548268 35 0 0
2 4 94 1 1 4 27 1 1 1 35.000486 29.424623 73 0 0
2 4 95 2 1 5 30 0 0 1 444.566523 31.030435 132 0 0
2 4 96 4 1 1 22 1 1 1 26.865743 25.123905 101 0 0
2 4 97 3 1 2 38 0 0 1 304.123541 12.858325 25 0 0
2 4 98 5 1 3 33 0 0 1 79.157309 22.274492 19 0 0
2 4 99 1 1 4 40 0 0 1 95.634248 28.643363 108 0 0
2 4 100 2 1 5 38 0 0 1 225.612204 33.082050 233 0 0
2 4 101 4 3 1 9 1 1 1 24.818776 17.130038 26 0 0
